Traveling Repairman Problem (TRP) Instances based on uniform distribution. Designed by Amir Salehipour, University of Antwerp, 2006.
Number-of-machines: 500
Lowest range: 0
Highest range: 500

No.	x-Coor	y-Coor
0	419	390
1	439	117
2	228	342
3	248	274
4	254	21
5	198	184
6	73	434
7	317	375
8	15	91
9	307	278
10	425	298
11	494	439
12	337	183
13	49	421
14	86	427
15	122	467
16	122	385
17	272	264
18	39	69
19	346	376
20	81	181
21	184	183
22	148	157
23	309	389
24	70	421
25	466	451
26	150	306
27	178	479
28	256	343
29	194	464
30	475	369
31	468	383
32	84	163
33	77	34
34	373	54
35	189	167
36	61	220
37	7	239
38	349	108
39	298	371
40	350	198
41	418	343
42	422	59
43	467	195
44	181	393
45	460	271
46	183	27
47	164	270
48	70	55
49	486	153
50	174	85
51	47	469
52	354	287
53	351	426
54	80	202
55	165	301
56	33	11
57	23	500
58	228	225
59	480	354
60	433	487
61	8	486
62	401	446
63	192	306
64	172	408
65	84	489
66	469	213
67	389	494
68	447	45
69	352	459
70	322	118
71	494	53
72	128	463
73	94	109
74	130	238
75	38	114
76	165	296
77	453	394
78	401	440
79	238	59
80	311	83
81	412	48
82	358	254
83	390	345
84	156	170
85	100	192
86	135	304
87	73	391
88	468	174
89	396	499
90	272	297
91	169	24
92	356	5
93	359	420
94	30	88
95	191	487
96	237	458
97	461	479
98	25	292
99	426	16
100	125	358
101	138	122
102	157	469
103	391	467
104	218	280
105	148	137
106	371	369
107	99	21
108	313	318
109	247	131
110	217	234
111	142	441
112	27	426
113	177	70
114	226	174
115	78	391
116	324	318
117	463	385
118	103	93
119	142	327
120	368	431
121	21	133
122	227	184
123	262	437
124	174	450
125	90	233
126	465	489
127	386	159
128	86	396
129	459	252
130	300	15
131	129	246
132	55	275
133	23	257
134	268	416
135	223	405
136	238	295
137	142	236
138	216	239
139	292	492
140	401	136
141	313	74
142	359	227
143	423	273
144	148	293
145	158	93
146	161	194
147	65	247
148	446	471
149	223	156
150	24	448
151	234	28
152	475	53
153	89	336
154	292	296
155	26	296
156	287	124
157	296	141
158	59	91
159	452	303
160	274	55
161	78	304
162	303	355
163	77	448
164	451	160
165	416	141
166	322	463
167	477	412
168	56	404
169	392	465
170	486	384
171	7	351
172	452	178
173	370	63
174	304	486
175	379	161
176	354	141
177	479	237
178	296	411
179	56	298
180	357	117
181	411	411
182	189	1
183	458	163
184	284	60
185	36	294
186	411	295
187	478	49
188	345	77
189	321	108
190	413	86
191	311	150
192	106	19
193	70	383
194	292	37
195	99	134
196	274	128
197	472	304
198	232	366
199	387	281
200	291	251
201	460	134
202	253	90
203	386	173
204	241	119
205	388	188
206	280	328
207	58	462
208	77	178
209	17	375
210	17	175
211	5	184
212	145	496
213	311	302
214	136	130
215	176	152
216	37	222
217	52	440
218	280	92
219	383	397
220	246	113
221	261	352
222	380	416
223	135	181
224	139	120
225	436	485
226	277	33
227	275	67
228	236	41
229	99	24
230	163	129
231	439	56
232	310	233
233	159	303
234	338	393
235	322	285
236	293	386
237	86	291
238	265	320
239	259	281
240	496	363
241	398	129
242	456	84
243	115	292
244	146	98
245	455	232
246	156	465
247	496	163
248	227	60
249	76	458
250	348	348
251	259	291
252	141	282
253	461	337
254	64	275
255	348	128
256	178	441
257	426	359
258	16	67
259	434	259
260	299	15
261	454	328
262	32	7
263	368	32
264	232	495
265	53	281
266	311	79
267	455	260
268	381	157
269	435	463
270	485	280
271	28	476
272	43	403
273	497	371
274	497	487
275	342	259
276	448	161
277	124	355
278	289	387
279	280	115
280	98	345
281	295	285
282	308	474
283	373	429
284	428	386
285	14	280
286	316	104
287	123	472
288	279	315
289	42	500
290	18	114
291	154	473
292	175	414
293	444	495
294	3	5
295	160	253
296	425	433
297	457	127
298	496	185
299	178	425
300	30	358
301	154	44
302	419	276
303	164	153
304	399	257
305	442	223
306	274	483
307	388	473
308	388	174
309	350	74
310	326	25
311	139	177
312	143	97
313	148	103
314	109	131
315	240	264
316	258	478
317	266	147
318	239	95
319	382	446
320	246	325
321	34	156
322	41	396
323	265	221
324	325	353
325	228	54
326	490	378
327	50	11
328	7	191
329	432	151
330	461	496
331	131	354
332	14	166
333	213	125
334	294	124
335	214	168
336	493	132
337	107	57
338	171	420
339	208	72
340	52	378
341	417	42
342	306	259
343	431	268
344	104	86
345	324	349
346	445	231
347	127	494
348	28	358
349	312	153
350	185	192
351	299	29
352	137	305
353	404	324
354	95	387
355	346	267
356	462	194
357	211	283
358	160	130
359	23	352
360	347	166
361	293	414
362	30	50
363	207	373
364	359	7
365	332	47
366	88	393
367	477	128
368	7	487
369	119	496
370	322	396
371	7	443
372	277	261
373	356	163
374	19	219
375	268	57
376	476	333
377	261	206
378	264	434
379	52	71
380	390	79
381	495	264
