Traveling Repairman Problem (TRP) Instances based on uniform distribution. Designed by Amir Salehipour, University of Antwerp, 2006.
Number-of-machines: 500
Lowest range: 0
Highest range: 500

No.	x-Coor	y-Coor
0	26	253
1	291	228
2	399	298
3	59	70
4	388	417
5	26	433
6	294	372
7	181	291
8	107	185
9	224	478
10	284	373
11	201	340
12	90	486
13	174	286
14	257	187
15	319	57
16	495	293
17	92	297
18	99	11
19	352	239
20	182	301
21	83	109
22	294	74
23	102	52
24	452	181
25	403	173
26	327	403
27	19	15
28	124	375
29	42	53
30	408	169
31	199	35
32	401	474
33	116	246
34	3	83
35	173	18
36	67	144
37	72	73
38	182	361
39	26	26
40	486	123
41	203	118
42	275	245
43	314	14
44	418	279
45	484	245
46	346	99
47	307	115
48	141	223
49	210	164
50	471	51
51	33	497
52	400	499
53	451	73
54	338	212
55	140	276
56	147	322
57	322	347
58	155	446
59	74	499
60	117	385
61	61	305
62	367	214
63	58	180
64	195	233
65	422	29
66	195	469
67	397	406
68	115	189
69	384	246
70	474	122
71	87	5
72	452	351
73	159	283
74	321	67
75	240	269
76	445	149
77	34	68
78	96	266
79	318	252
80	119	461
81	5	208
82	192	405
83	183	116
84	225	300
85	234	123
86	128	102
87	459	55
88	496	52
89	320	240
90	456	184
91	207	266
92	204	288
93	373	257
94	485	24
95	408	495
96	45	130
97	414	463
98	311	445
99	262	139
100	322	183
101	72	122
102	165	177
103	304	411
104	451	30
105	110	423
106	71	389
107	324	71
108	274	289
109	247	487
110	314	271
111	101	214
112	186	229
113	306	441
114	226	187
115	459	125
116	74	457
117	168	53
118	281	389
119	122	197
120	69	158
121	39	426
122	5	291
123	390	406
124	113	401
125	28	264
126	191	306
127	125	353
128	332	13
129	44	185
130	439	249
131	52	369
132	228	5
133	498	118
134	498	296
135	366	179
136	179	72
137	321	237
138	424	14
139	160	134
140	258	141
141	294	483
142	53	445
143	159	498
144	352	1
145	192	126
146	283	261
147	270	302
148	110	477
149	239	407
150	166	469
151	442	263
152	189	175
153	371	232
154	325	196
155	341	260
156	322	291
157	323	432
158	166	19
159	336	375
160	192	481
161	18	85
162	416	371
163	297	499
164	123	286
165	271	403
166	465	498
167	210	495
168	84	136
169	309	177
170	31	493
171	93	426
172	498	399
173	99	287
174	122	374
175	241	352
176	376	2
177	493	275
178	325	241
179	271	175
180	249	114
181	180	479
182	402	487
