Traveling Repairman Problem (TRP) Instances based on uniform distribution. Designed by Amir Salehipour, University of Antwerp, 2006.
Number-of-machines: 500
Lowest range: 0
Highest range: 500

No.	x-Coor	y-Coor
0	439	80
1	463	498
2	278	210
3	62	421
4	252	320
5	330	224
6	333	211
7	478	177
8	225	449
9	497	470
10	125	419
11	77	267
12	97	492
13	153	369
14	163	82
15	297	362
16	416	110
17	393	395
18	248	135
19	312	477
20	18	166
21	26	442
22	231	428
23	377	454
24	68	96
25	445	217
26	335	253
27	225	260
28	163	104
29	57	447
30	40	194
31	28	102
32	497	161
33	278	392
34	32	281
35	429	349
36	93	321
37	89	182
38	210	467
39	122	266
40	90	347
41	156	451
42	262	405
43	9	69
44	99	151
45	12	301
46	294	46
47	409	278
48	118	45
49	300	63
50	35	49
51	332	399
52	11	306
53	79	379
54	88	499
55	324	404
56	48	55
57	196	96
58	259	440
59	360	33
60	11	442
61	214	469
62	441	225
63	308	406
64	357	153
65	410	182
66	56	169
67	459	445
68	448	220
69	327	172
70	73	22
71	111	108
72	341	151
73	399	278
74	71	252
75	220	446
76	145	367
77	126	191
78	383	143
79	112	455
80	433	457
81	323	228
82	286	198
83	261	255
84	220	240
85	427	403
86	264	364
87	126	76
88	8	143
89	362	327
90	331	63
91	49	54
92	388	389
93	473	411
94	415	41
95	221	347
96	204	3
97	21	383
98	302	22
99	205	53
100	283	120
101	239	117
102	152	180
103	27	454
104	227	118
105	449	278
106	65	423
107	323	56
108	265	55
109	249	276
110	222	490
111	52	456
112	170	418
113	250	32
114	76	356
115	275	15
116	235	195
117	388	62
118	116	454
119	490	345
120	319	243
121	291	366
122	189	210
123	32	104
124	445	485
125	212	134
126	381	386
127	37	111
128	471	407
129	22	263
130	469	241
131	469	270
132	314	374
133	265	190
134	429	497
135	203	304
136	244	259
137	282	31
138	8	130
139	182	304
140	236	380
141	387	39
142	357	456
143	124	94
144	388	250
145	115	367
146	232	47
147	301	400
148	398	148
149	28	155
150	252	450
151	374	338
152	103	489
153	82	416
154	219	217
155	297	216
156	87	18
157	62	246
158	7	252
159	277	139
160	344	310
161	73	338
162	7	474
163	301	440
164	6	84
165	99	314
166	136	280
167	223	409
168	139	332
169	119	367
170	410	333
171	414	350
172	87	257
173	294	216
174	80	158
175	475	434
176	399	24
177	205	374
178	328	47
179	16	378
180	299	328
181	165	228
182	26	283
183	487	431
184	233	266
185	84	432
186	60	170
187	85	171
188	466	30
189	403	110
190	214	383
191	212	118
192	257	410
193	87	375
194	117	121
195	5	156
196	77	103
197	182	162
198	254	83
199	419	271
200	409	346
201	435	364
202	36	246
203	380	99
204	96	351
205	476	293
206	437	465
207	499	287
208	260	61
209	57	445
210	189	380
211	346	169
212	280	211
213	367	81
214	46	133
215	286	250
216	330	206
217	396	117
218	99	408
219	384	3
220	487	311
221	364	334
222	169	272
