Traveling Repairman Problem (TRP) Instances based on uniform distribution. Designed by Amir Salehipour, University of Antwerp, 2006.
Number-of-machines: 500
Lowest range: 0
Highest range: 500

No.	x-Coor	y-Coor
0	297	319
1	54	28
2	81	232
3	388	215
4	225	345
5	418	2
6	277	318
7	4	42
8	318	31
9	394	176
10	327	296
11	156	446
12	198	117
13	452	75
14	364	146
15	245	181
16	215	219
17	243	236
18	288	118
19	183	40
20	409	444
21	266	218
22	257	248
23	334	18
24	39	307
25	99	411
26	245	186
27	28	275
28	168	474
29	185	162
30	160	342
31	131	426
32	313	306
33	190	220
34	27	340
35	180	134
36	161	225
37	417	483
38	230	284
39	82	18
40	341	383
41	284	65
42	322	342
43	373	373
44	263	151
45	366	171
46	391	132
47	36	207
48	20	419
49	500	288
50	494	433
51	393	81
52	350	204
53	447	188
54	147	203
55	49	272
56	158	75
57	124	238
58	388	402
59	399	241
60	110	392
61	394	32
62	391	142
63	204	417
64	280	352
65	418	329
66	150	140
67	226	294
68	361	350
69	75	302
70	222	482
71	422	337
72	443	154
73	436	106
74	35	209
75	206	204
76	354	392
77	306	255
78	256	205
79	271	278
80	52	351
81	331	308
82	222	403
83	474	16
84	95	84
85	160	374
86	437	304
87	282	101
88	164	341
89	176	425
90	125	308
91	284	419
92	152	299
93	283	426
94	351	352
95	260	341
96	311	114
97	266	269
98	204	368
99	321	314
100	469	283
101	203	29
102	38	54
103	99	276
104	304	313
105	441	28
106	282	446
107	13	370
108	179	215
109	144	211
110	306	319
111	88	483
112	49	296
113	391	335
114	353	386
115	343	88
116	416	273
117	342	473
118	38	319
119	233	404
120	360	199
121	470	326
122	398	76
123	164	367
124	126	195
125	350	352
126	15	48
127	61	410
128	271	1
129	13	205
130	195	10
131	7	62
132	382	338
133	359	486
134	216	390
135	437	357
136	348	81
137	141	308
138	131	351
139	399	51
140	197	246
141	3	172
142	139	180
143	375	157
144	0	287
145	81	160
146	17	495
147	170	291
148	332	210
149	175	431
150	113	263
151	352	332
152	297	494
153	473	42
154	401	129
155	270	389
156	114	330
157	343	70
158	105	61
159	119	85
160	274	168
161	186	54
162	377	300
163	79	157
164	245	78
165	354	245
166	40	134
167	12	356
168	252	427
169	126	173
170	398	471
171	221	178
172	115	361
173	253	23
174	105	240
175	270	387
176	146	107
177	56	322
178	94	88
179	373	369
180	115	83
181	96	445
182	71	403
183	340	284
184	276	321
185	401	426
186	76	141
187	84	41
188	451	206
189	257	87
190	97	470
191	197	80
192	184	23
193	64	478
194	255	225
195	81	465
196	453	317
197	246	126
198	47	175
199	150	297
200	444	71
201	238	102
202	153	105
203	85	431
204	391	186
205	18	397
206	303	205
207	160	11
208	474	287
209	219	112
210	213	277
211	122	313
212	285	329
213	288	461
214	74	256
215	147	408
216	350	24
217	219	81
218	114	33
219	338	129
220	219	74
221	341	164
222	213	103
223	308	355
224	116	224
225	175	394
226	84	18
227	307	106
228	153	119
229	347	201
230	24	156
231	425	455
232	101	482
233	66	321
234	211	299
235	348	242
236	234	97
237	170	178
238	80	27
239	182	115
