Traveling Repairman Problem (TRP) Instances based on uniform distribution. Designed by Amir Salehipour, University of Antwerp, 2006.
Number-of-machines: 100
Lowest range: 0
Highest range: 100

No.	x-Coor	y-Coor
0	4	10
1	60	39
2	82	67
3	51	2
4	21	43
5	10	62
6	40	80
7	78	45
8	49	4
9	46	28
10	28	21
11	23	43
12	52	34
13	60	16
14	46	5
15	12	2
16	46	73
17	60	23
18	44	49
19	75	87
20	91	97
21	57	93
22	46	19
23	15	99
24	39	65
25	24	55
26	30	78
27	44	78
28	47	84
29	7	78
30	70	62
31	80	6
32	53	80
33	4	33
34	47	52
35	8	31
36	15	85
37	11	70
38	13	75
39	1	97
40	10	35
41	17	10
42	28	99
43	4	94
44	95	84
45	79	42
46	51	61
47	83	11
48	36	24
49	44	42
50	94	90
51	34	10
52	96	26
53	44	0
54	49	50
55	56	10
56	81	83
57	46	56
58	61	0
59	83	80
60	56	77
61	70	53
62	78	57
63	86	49
64	22	50
65	70	4
66	56	78
67	28	25
68	51	89
69	71	66
70	26	50
71	89	32
72	86	29
73	71	33
74	29	100
75	51	51
76	7	60
77	15	33
78	8	7
79	43	81
80	54	54
81	15	46
82	66	37
83	53	8
84	14	98
85	45	31
86	83	83
87	0	90
88	77	48
89	96	62
90	1	19
91	67	53
92	39	84
93	87	85
94	63	70
95	100	96
96	88	88
97	49	79
98	26	91
99	67	16
100	36	30
