Traveling Repairman Problem (TRP) Instances based on uniform distribution. Designed by Amir Salehipour, University of Antwerp, 2006.
Number-of-machines: 100
Lowest range: 0
Highest range: 100

No.	x-Coor	y-Coor
0	8	100
1	99	85
2	6	71
3	56	8
4	34	53
5	7	45
6	95	24
7	33	65
8	97	49
9	1	26
10	47	35
11	67	78
12	81	36
13	20	46
14	5	54
15	51	31
16	41	12
17	75	62
18	24	69
19	77	68
20	71	30
21	22	65
22	59	24
23	89	50
24	22	23
25	86	96
26	23	46
27	87	27
28	95	42
29	55	78
30	12	90
31	2	19
32	91	4
33	30	47
34	78	93
35	29	14
36	20	53
37	45	12
38	78	43
39	27	74
40	81	33
41	42	13
42	81	58
43	76	57
44	99	77
45	14	4
46	35	76
47	3	52
48	22	2
49	9	36
50	99	68
51	61	19
52	88	26
53	93	65
54	40	45
55	81	55
56	49	83
57	83	62
58	85	96
59	80	57
60	57	70
61	33	43
62	44	28
63	35	10
64	17	88
65	94	5
66	89	21
67	15	84
68	100	4
69	21	82
70	99	95
71	78	37
72	14	31
73	61	8
74	69	91
75	36	39
76	50	6
77	88	91
78	75	63
79	71	4
80	73	94
81	8	7
82	10	84
83	23	38
84	92	99
85	26	99
86	72	63
87	37	95
88	82	86
89	72	93
90	29	74
91	71	47
92	74	19
93	96	23
94	30	1
95	72	70
96	1	8
97	17	74
98	93	91
99	8	38
100	19	72
