Traveling Repairman Problem (TRP) Instances based on uniform distribution. Designed by Amir Salehipour, University of Antwerp, 2006.
Number-of-machines: 200
Lowest range: 0
Highest range: 100

No.	x-Coor	y-Coor
0	39	5
1	86	16
2	20	33
3	49	96
4	42	91
5	80	57
6	4	60
7	56	46
8	75	40
9	97	2
10	8	32
11	76	29
12	63	71
13	79	33
14	82	29
15	71	38
16	77	42
17	64	98
18	78	92
19	41	26
20	9	94
21	51	31
22	14	21
23	10	27
24	28	12
25	25	69
26	4	96
27	88	87
28	86	92
29	44	92
30	48	96
31	87	1
32	88	27
33	88	69
34	87	45
35	5	72
36	32	3
37	78	25
38	16	60
39	69	81
40	2	5
41	43	7
42	68	19
43	42	61
44	29	39
45	65	77
46	47	33
47	92	93
48	14	64
49	74	6
50	40	41
51	23	11
52	13	41
53	16	91
54	76	6
55	70	21
56	82	86
57	74	70
58	61	37
59	55	27
60	89	48
61	58	68
62	63	8
63	8	78
64	86	83
65	54	41
66	69	4
67	45	20
68	43	57
69	40	35
70	99	66
71	16	63
72	45	51
73	58	65
74	88	65
75	8	66
76	53	84
77	53	99
78	23	69
79	20	25
80	25	43
81	75	55
82	49	38
83	85	79
84	3	31
85	38	17
86	32	26
87	75	27
88	57	23
89	49	52
90	93	95
91	49	60
92	97	41
93	97	54
94	94	38
95	79	4
96	45	33
97	98	87
98	94	25
99	24	72
100	68	70
101	13	49
102	62	50
103	82	34
104	78	54
105	19	45
106	61	97
107	91	95
108	91	40
109	52	74
110	83	19
111	2	90
112	48	68
113	4	27
114	59	24
115	7	88
116	100	8
117	85	98
118	16	78
119	36	10
120	56	22
121	53	11
122	16	21
123	13	58
124	93	28
125	95	51
126	39	93
127	73	58
128	28	90
129	85	17
130	40	73
131	47	16
132	52	10
133	91	82
134	64	31
135	4	85
136	28	36
137	52	68
138	26	93
139	58	43
140	51	85
141	20	29
142	50	19
143	39	90
144	70	74
145	51	53
146	73	88
147	19	50
148	70	66
149	80	74
150	13	7
151	15	89
152	26	32
153	36	90
154	96	19
155	38	44
156	7	14
157	34	8
158	44	33
159	14	69
160	48	17
161	28	86
162	36	64
163	68	87
164	89	96
165	20	97
166	15	82
167	68	57
168	70	73
169	35	3
170	74	81
171	27	60
172	89	50
173	64	40
174	93	51
175	78	81
176	28	48
177	57	17
178	45	71
179	2	25
180	34	48
181	93	31
182	58	10
183	23	29
184	70	52
185	0	85
186	48	41
187	67	91
188	20	55
189	48	28
190	7	66
191	75	16
192	67	24
193	93	3
194	59	62
195	93	69
196	23	96
197	96	8
198	74	24
199	10	44
200	28	89
