Traveling Repairman Problem (TRP) Instances based on uniform distribution. Designed by Amir Salehipour, University of Antwerp, 2006.
Number-of-machines: 200
Lowest range: 0
Highest range: 100

No.	x-Coor	y-Coor
0	80	79
1	57	54
2	61	30
3	49	92
4	72	12
5	91	99
6	69	38
7	67	12
8	10	67
9	33	97
10	46	60
11	35	6
12	5	26
13	6	95
14	4	5
15	99	40
16	67	31
17	55	39
18	71	97
19	65	51
20	6	96
21	19	48
22	69	41
23	10	30
24	84	31
25	76	98
26	53	99
27	53	11
28	44	69
29	34	27
30	18	81
31	80	76
32	94	15
33	1	38
34	64	47
35	45	78
36	51	4
37	8	31
38	22	19
39	21	65
40	53	72
41	98	32
42	50	11
43	26	25
44	31	38
45	74	49
46	79	64
47	96	41
48	45	1
49	12	26
50	38	6
51	36	58
52	78	48
53	41	23
54	26	7
55	25	65
56	98	72
57	75	100
58	56	61
59	83	85
60	82	11
61	17	13
62	55	77
63	4	82
64	96	88
65	20	31
66	35	78
67	51	78
68	48	70
69	15	55
70	19	14
71	13	81
72	91	45
73	96	56
74	31	94
75	19	31
76	3	95
77	70	26
78	53	20
79	29	54
80	14	100
81	74	35
82	34	45
83	68	29
84	12	42
85	46	7
86	78	31
87	41	67
88	93	29
89	66	9
90	78	29
91	96	5
92	90	23
93	55	46
94	22	71
95	60	13
96	56	91
97	36	71
98	58	68
99	31	6
100	13	61
101	63	16
102	24	24
103	33	81
104	55	92
105	8	20
106	38	68
107	40	54
108	31	58
109	9	84
110	53	87
111	54	17
112	70	44
113	86	28
114	68	85
115	48	7
116	83	54
117	12	69
118	16	40
119	77	84
120	23	31
121	58	3
122	94	87
123	43	26
124	5	91
125	87	6
126	74	3
127	29	29
128	93	69
129	18	47
130	68	13
131	94	31
132	46	75
133	54	9
134	54	2
135	25	40
136	28	70
137	69	25
138	67	42
139	62	72
140	80	40
141	56	30
142	58	31
143	74	14
144	55	3
145	43	21
146	1	48
147	10	83
148	16	8
149	66	29
150	79	13
151	98	15
152	95	60
153	8	6
154	23	67
155	20	50
156	15	53
157	2	28
158	14	63
159	41	40
160	75	14
161	87	98
162	50	61
163	2	69
164	98	63
165	39	78
166	74	51
167	81	79
168	40	83
169	61	21
170	66	75
171	8	16
172	61	3
173	24	22
174	96	66
175	46	80
176	64	94
177	91	76
178	40	4
179	42	99
180	87	78
181	83	56
182	59	76
183	24	7
184	67	46
185	25	96
186	39	55
187	78	32
188	59	94
189	39	92
190	95	90
191	75	7
192	22	69
193	13	11
194	37	7
195	67	86
196	69	22
197	21	18
198	100	23
199	43	73
200	73	87
