Traveling Repairman Problem (TRP) Instances based on uniform distribution. Designed by Amir Salehipour, University of Antwerp, 2006.
Number-of-machines: 200
Lowest range: 0
Highest range: 100

No.	x-Coor	y-Coor
0	81	90
1	77	39
2	40	54
3	61	45
4	77	66
5	90	62
6	10	47
7	11	72
8	49	43
9	29	89
10	32	55
11	26	47
12	60	15
13	60	72
14	3	21
15	56	77
16	25	32
17	45	87
18	14	28
19	91	53
20	67	35
21	38	46
22	6	18
23	20	96
24	83	52
25	92	73
26	46	64
27	87	63
28	26	58
29	82	43
30	14	17
31	74	14
32	95	98
33	37	82
34	1	6
35	86	49
36	46	70
37	86	26
38	21	6
39	58	96
40	100	76
41	15	55
42	32	63
43	65	71
44	81	27
45	38	70
46	78	91
47	52	97
48	56	19
49	84	54
50	32	20
51	70	84
52	91	64
53	85	76
54	61	16
55	32	76
56	15	93
57	93	73
58	97	55
59	75	54
60	5	10
61	94	84
62	28	68
63	36	9
64	76	17
65	44	52
66	90	44
67	47	71
68	84	98
69	14	85
70	86	95
71	27	3
72	49	69
73	50	84
74	2	83
75	8	59
76	81	83
77	42	31
78	50	15
79	52	4
80	24	4
81	5	37
82	13	93
83	98	91
84	8	46
85	80	55
86	8	31
87	8	12
88	24	62
89	38	57
90	59	34
91	36	100
92	95	14
93	2	73
94	83	40
95	2	97
96	75	84
97	82	88
98	90	21
99	84	90
100	52	69
101	17	7
102	94	50
103	16	4
104	65	22
105	35	79
106	35	32
107	7	54
108	35	62
109	25	88
110	19	90
111	66	71
112	6	51
113	20	100
114	64	24
115	41	80
116	4	23
117	89	76
118	61	22
119	70	42
120	0	86
121	50	51
122	50	43
123	49	67
124	92	77
125	88	69
126	5	55
127	4	76
128	98	89
129	90	81
130	32	39
131	86	37
132	60	52
133	87	14
134	83	56
135	69	60
136	63	85
137	18	91
138	77	75
139	65	48
140	63	98
141	96	24
142	38	64
143	52	24
144	33	72
145	92	57
146	43	42
147	14	5
148	14	92
149	31	86
150	84	1
151	89	52
152	86	38
153	4	32
154	41	74
155	40	73
156	45	55
157	82	78
158	70	86
159	26	95
160	98	68
161	53	68
162	99	52
163	95	92
164	68	66
165	69	76
166	42	46
167	84	82
168	9	58
169	100	23
170	22	28
171	35	84
172	40	71
173	9	71
174	6	32
175	19	34
176	83	31
177	31	72
178	56	26
179	82	71
180	24	94
181	75	80
182	89	25
183	87	77
184	73	45
185	25	27
186	51	65
187	88	86
188	52	55
189	65	59
190	4	54
191	3	53
192	81	8
193	10	40
194	23	64
195	1	83
196	87	80
197	55	13
198	9	7
199	7	31
200	22	91
