Traveling Repairman Problem (TRP) Instances based on uniform distribution. Designed by Amir Salehipour, University of Antwerp, 2006.
Number-of-machines: 150
Lowest range: 0
Highest range: 100

No.	x-Coor	y-Coor
0	60	56
1	10	5
2	66	45
3	61	79
4	3	16
5	22	28
6	11	80
7	6	11
8	57	50
9	99	57
10	55	28
11	100	90
12	2	71
13	46	39
14	59	9
15	61	33
16	70	48
17	67	45
18	62	29
19	10	67
20	19	82
21	23	87
22	59	41
23	87	69
24	20	53
25	10	78
26	88	67
27	85	68
28	54	17
29	50	70
30	45	85
31	0	5
32	25	77
33	93	45
34	93	74
35	83	60
36	83	9
37	30	72
38	97	23
39	16	41
40	62	53
41	20	26
42	64	7
43	89	30
44	26	69
45	32	73
46	99	15
47	4	3
48	32	49
49	93	7
50	74	57
51	76	98
52	3	99
53	57	64
54	6	15
55	58	57
56	17	77
57	76	88
58	49	68
59	70	26
60	2	1
61	96	60
62	3	81
63	52	18
64	50	11
65	55	99
66	25	45
67	12	36
68	39	96
69	97	11
70	68	91
71	6	64
72	71	92
73	2	14
74	15	65
75	17	17
76	20	29
77	24	14
78	39	55
79	50	52
80	92	49
81	40	57
82	69	95
83	42	44
84	4	86
85	21	27
86	70	22
87	82	24
88	62	4
89	1	21
90	36	99
91	44	83
92	68	6
93	75	80
94	96	0
95	34	26
96	25	91
97	92	79
98	30	56
99	46	8
100	65	93
101	77	89
102	99	65
103	34	15
104	84	63
105	54	93
106	88	66
107	95	16
108	90	28
109	87	68
110	64	72
111	67	75
112	65	6
113	29	31
114	37	67
115	31	31
116	41	84
117	92	42
118	47	69
119	39	29
120	80	56
121	19	77
122	52	48
123	43	26
124	82	33
125	75	58
126	36	13
127	40	50
128	87	4
129	50	45
130	23	59
131	34	29
132	5	65
133	72	97
134	10	75
135	4	76
136	51	13
137	34	88
138	12	22
139	87	39
140	93	96
141	35	90
142	9	60
143	73	18
144	14	32
145	31	16
146	21	50
147	19	36
148	83	84
149	99	28
150	87	13
