Traveling Repairman Problem (TRP) Instances based on uniform distribution. Designed by Amir Salehipour, University of Antwerp, 2006.
Number-of-machines: 150
Lowest range: 0
Highest range: 100

No.	x-Coor	y-Coor
0	20	15
1	54	81
2	90	94
3	34	70
4	4	93
5	32	3
6	69	67
7	47	65
8	41	44
9	10	38
10	89	45
11	66	33
12	94	2
13	9	36
14	53	52
15	32	24
16	3	87
17	65	16
18	23	42
19	54	93
20	52	88
21	65	56
22	50	19
23	54	70
24	62	13
25	97	44
26	11	21
27	20	1
28	73	6
29	11	98
30	61	59
31	73	38
32	66	18
33	90	40
34	100	28
35	52	4
36	73	50
37	41	42
38	47	76
39	100	13
40	15	47
41	91	25
42	31	33
43	73	54
44	49	67
45	98	28
46	93	6
47	57	41
48	22	0
49	76	35
50	0	38
51	97	20
52	46	64
53	33	66
54	71	25
55	42	43
56	77	48
57	14	33
58	19	98
59	97	2
60	15	27
61	70	51
62	1	65
63	92	27
64	9	42
65	25	22
66	82	23
67	63	44
68	80	30
69	67	73
70	13	22
71	42	0
72	50	30
73	45	60
74	23	99
75	67	46
76	95	45
77	80	32
78	13	73
79	92	82
80	95	66
81	90	66
82	81	97
83	25	74
84	12	61
85	24	49
86	42	85
87	65	17
88	66	25
89	14	39
90	66	86
91	60	77
92	39	92
93	35	78
94	38	32
95	73	84
96	75	13
97	78	69
98	13	45
99	63	95
100	6	90
101	36	20
102	2	2
103	78	14
104	84	80
105	6	45
106	53	74
107	58	77
108	26	57
109	95	34
110	59	13
111	55	99
112	71	36
113	50	75
114	70	12
115	61	86
116	56	61
117	90	52
118	19	23
119	52	5
120	91	58
121	56	92
122	66	42
123	45	19
124	62	45
125	72	88
126	42	48
127	59	85
128	37	7
129	20	70
130	22	11
131	2	15
132	82	38
133	25	53
134	96	66
135	62	93
136	3	38
137	55	35
138	63	37
139	7	67
140	84	74
141	31	67
142	27	37
143	11	91
144	50	12
145	53	78
146	18	23
147	77	39
148	34	98
149	33	71
150	14	13
