Traveling Repairman Problem (TRP) Instances based on uniform distribution. Designed by Amir Salehipour, University of Antwerp, 2006.
Number-of-machines: 150
Lowest range: 0
Highest range: 100

No.	x-Coor	y-Coor
0	34	34
1	100	9
2	87	6
3	30	51
4	69	26
5	91	25
6	77	98
7	36	55
8	53	98
9	90	49
10	71	58
11	21	53
12	79	29
13	63	56
14	2	7
15	51	31
16	31	45
17	100	72
18	18	31
19	76	37
20	68	61
21	89	37
22	81	93
23	63	83
24	21	84
25	6	43
26	65	26
27	41	7
28	7	76
29	16	22
30	79	77
31	59	95
32	53	88
33	89	10
34	94	15
35	58	77
36	28	47
37	26	57
38	86	6
39	52	68
40	98	10
41	98	19
42	93	48
43	26	89
44	83	82
45	98	93
46	80	65
47	43	37
48	31	92
49	8	28
50	19	70
51	65	25
52	8	35
53	74	95
54	87	86
55	86	81
56	93	77
57	92	17
58	62	31
59	79	14
60	89	19
61	18	61
62	48	65
63	50	37
64	51	25
65	74	0
66	2	99
67	15	53
68	19	17
69	82	28
70	78	70
71	79	10
72	67	23
73	97	42
74	80	73
75	32	11
76	64	97
77	64	87
78	31	58
79	57	90
80	52	97
81	82	64
82	54	94
83	55	48
84	25	24
85	77	97
86	60	86
87	70	59
88	35	28
89	96	64
90	61	61
91	45	25
92	99	71
93	5	95
94	80	20
95	69	7
96	24	59
97	7	23
98	86	40
99	57	13
100	43	32
101	67	10
102	34	52
103	29	46
104	66	13
105	52	21
106	19	76
107	6	15
108	37	34
109	83	75
110	49	12
111	18	16
112	12	2
113	99	48
114	18	9
115	26	66
116	44	52
117	34	41
118	5	79
119	53	5
120	80	40
121	7	15
122	73	85
123	33	58
124	75	19
125	23	84
126	93	92
127	65	58
128	15	58
129	89	72
130	68	68
131	90	41
132	51	39
133	41	27
134	81	66
135	65	88
136	52	11
137	79	13
138	44	51
139	68	45
140	64	1
141	25	44
142	73	2
143	0	92
144	82	98
145	86	96
146	61	71
147	8	87
148	41	89
149	27	75
150	74	3
