Traveling Repairman Problem (TRP) Instances based on uniform distribution. Designed by Amir Salehipour, University of Antwerp, 2006.
Number-of-machines: 50
Lowest range: 0
Highest range: 100

No.	x-Coor	y-Coor
0	42	83
1	21	28
2	86	93
3	25	37
4	15	65
5	26	89
6	83	32
7	1	62
8	73	24
9	71	25
10	37	67
11	50	1
12	52	37
13	56	52
14	41	95
15	63	30
16	73	2
17	25	22
18	95	47
19	44	54
20	83	90
21	17	61
22	91	43
23	40	1
24	74	4
25	85	18
26	58	58
27	47	28
28	55	56
29	72	35
30	66	4
31	59	48
32	93	52
33	51	19
34	96	24
35	99	56
36	11	87
37	32	36
38	72	91
39	0	80
40	51	65
41	28	7
42	55	33
43	53	35
44	0	13
45	78	30
46	99	58
47	15	97
48	79	23
49	46	100
50	73	99
